word, meaning, partOfSpeech
revile, spread negative information about, verb
boozed, consume alcohol, verb
pinkify, make pink, verb
slurp, eat noisily, verb
scintillating, give off, verb
summering, spend the summer, verb
overcrop, to exhaust by excessive cultivation, verb
summerings, spend the summer, verb
adjudge, declare to be, verb
machinate, arrange by systematic planning and united effort, verb
patinize, coat with a patina, verb
exterminate, kill en masse; kill on a large scale; kill many, verb
metastasize, spread throughout the body, verb
liquidize, get rid of all one's merchandise, verb
bonded, stick to firmly, verb
abscise, shed flowers and leaves and fruit following formation of a scar tissue, verb
garbless, make false by mutilation or addition; as of a message or story, verb
belie, be in contradiction with, verb
deplumated, strip of feathers, verb
accustom, make psychologically or physically used (to something), verb
subjected, cause to experience or suffer or make liable or vulnerable to, verb
commandeer, take arbitrarily or by force, verb
translate, restate (words) from one language into another language, verb
obtund, reduce the edge or violence of, verb
biding, dwell, verb
devouring, destroy completely, verb
foliated, hammer into thin flat foils, verb
pulverize, make into a powder by breaking up or cause to become dust, verb
obliged, force somebody to do something, verb
unbosom, relieve oneself of troubling information, verb
subcontracted, arranged for contracted work to be done by others, verb
parse, analyze syntactically by assigning a constituent structure to (a sentence), verb
untaught, cause to disbelieve; teach someone the contrary of what he or she had learned earlier, verb
overbearing, overcome, verb
underwriting, guarantee financial support of, verb
supposed, express a supposition, verb
lunged, make a thrusting forward movement, verb
denudate, lay bare, verb
bullyragging, be bossy towards, verb
assuring, make certain of, verb
consuming, eat immoderately, verb
plugged, fill or close tightly with or as if with a plug, verb
convulse, make someone convulse with laughter, verb
proscribe, command against, verb
irradiate, give spiritual insight to; in religion, verb
subserve, be helpful or useful, verb
smirking, smile affectedly or derisively, verb
panderess, yield (to); give satisfaction to, verb
crunching, make a crushing noise, verb
hyperventilate, produce hyperventilation in, verb
exacting, claim as due or just, verb
reprove, take to task, verb
accrue, grow by addition, verb
configure, set up for a particular purpose, verb
seclude, keep away from others, verb
refresh, refresh one's memory, verb
reintegrate, integrate again, verb
integrate, make into a whole or make part of a whole, verb
warehoused, store in a warehouse, verb
lapidify, change into stone, verb
skimmed, travel on the surface of water, verb
perturbing, disturb in mind or make uneasy or cause to be worried or alarmed, verb
engorge, overeat or eat immodestly; make a pig of oneself, verb
distempered, paint with distemper, verb
injure, cause injuries or bodily harm to, verb
scrabbled, feel searchingly, verb
dried, remove the moisture from and make dry, verb
enlarging, make larger, verb
simplify, make simpler or easier or reduce in complexity or extent, verb
reversed, change to the contrary, verb
vacillate, be undecided about something; waver between conflicting positions or courses of action, verb
tanned, treat skins and hides with tannic acid so as to convert them into leather, verb
undersell, sell cheaper than one's competition, verb
chilled, depress or discourage, verb
palliate, lessen or to try to lessen the seriousness or extent of, verb
interleave, provide (books) with blank leaves, verb
syllabicate, divide into syllables, verb
binning, store in bins, verb
hydrogenate, combine or treat with or expose to hydrogen; add hydrogen to the molecule of (an unsaturated organic compound), verb
traversed, travel across or pass over, verb
quiesce, become quiet or quieter, verb
arching, form an arch or curve, verb
flagellated, whip, verb
piled, arrange in stacks, verb
learned, gain knowledge or skills, verb
pocketed, put in one's pocket, verb
sophisticated, make less natural or innocent, verb
toddle, walk unsteadily, verb
preconceive, conceive beforehand, verb
overstuff, stuff too much, verb
carve, form by carving, verb
metalize, coat with metal, verb
disassemble, take apart into its constituent pieces, verb
unstuffed, cause to become unblocked, verb
gaping, look with amazement; look stupidly, verb
accelerate, move faster, verb
brimmed, be completely full, verb
unfitted, make unfit or unsuitable, verb
conditioned, establish a conditioned response, verb
hyphenate, divide or connect with a hyphen, verb
unfold, develop or come to a promising stage, verb
burgle, commit a burglary; enter and rob a dwelling, verb
wattling, build of or with wattle, verb
bonneted, dress in a bonnet, verb
falcones, hunt with falcons, verb
palsied, affect with palsy, verb
bucked, to strive with determination, verb
trundling, move heavily, verb
rented, let for money, verb
disseminate, cause to become widely known, verb
dissever, separate into parts or portions, verb
stupefy, make dull or stupid or muddle with drunkenness or infatuation, verb
shamed, bring shame or dishonor upon, verb
rusticate, live in the country and lead a rustic life, verb
reconciling, make (one thing) compatible with (another), verb
overborne, overcome, verb
inspiriting, infuse with spirit, verb
educate, give an education to, verb
dilapidated, bring into a condition of decay or partial ruin by neglect or misuse, verb
circumvallate, surround with or as if with a rampart or other fortification, verb
illuminate, make lighter or brighter, verb
berried, pick or gather berries, verb
baptize, administer baptism to, verb
scrubbed, clean with hard rubbing, verb
aviate, operate an airplane, verb
coapt, cause to adhere, verb
bootlick, try to gain favor by cringing or flattering, verb
perorate, conclude a speech with a formal recapitulation, verb
specialize, become more focus on an area of activity or field of study, verb
excretes, eliminate from the body, verb
spitted, expel or eject (saliva or phlegm or sputum) from the mouth, verb
traumatize, inflict a trauma upon, verb
corrected, make right or correct, verb
notarize, authenticate as a notary, verb
expropriate, deprive of possessions, verb
quantify, use as a quantifier, verb
demolish, destroy completely, verb
unbind, untie or unfasten, verb
overgeneralize, draw too general a conclusion, verb
conglobe, assume a globular shape, verb
annihilate, kill in large numbers, verb
paganize, make pagan in character, verb
liquefy, become liquid, verb
united, act in concert or unite in a common purpose or belief, verb
doweress, furnish with an endowment, verb
undulated, stir up (water) so as to form ripples, verb
encroach, advance beyond the usual limit, verb
absent, go away or leave, verb
blaming, put or pin the blame on, verb
introspect, reflect on one's own thoughts and feelings, verb
thriving, grow vigorously, verb
undergoing, pass through, verb
skirmishing, engage in a skirmish, verb
concerning, be relevant to, verb
berthed, provide with a berth, verb
desensitize, cause not to be sensitive, verb
impugn, attack as false or wrong, verb
glug, make a gurgling sound as of liquid issuing from a bottle, verb
warmed, get warm or warmer, verb
solidify, make solid or more solid; cause to solidify, verb
clouded, make overcast or cloudy, verb
bayed, utter in deep prolonged tones, verb
empathize, be understanding of, verb
womanize, have amorous affairs; of men, verb
acquiesce, to agree or express agreement, verb
whopping, hit hard, verb
pulsate, expand and contract rhythmically; beat rhythmically, verb
misread, read or interpret wrongly, verb
favored, promote over another, verb
latinize, write in the Latin alphabet, verb
stickling, dispute or argue stubbornly (especially minor points), verb
envelop, enclose or enfold completely with or as if with a covering, verb
ruffling, stir up (water) so as to form ripples, verb
unstringed, remove the strings from, verb
hospitalize, admit into a hospital, verb
ask, inquire about, verb
cornered, gain control over, verb
wamble, move unsteadily or with a weaving or rolling motion, verb
parallelize, place parallel to one another, verb
construe, make sense of; assign a meaning to, verb
hover, be undecided about something; waver between conflicting positions or courses of action, verb
petrified, cause to become stonelike or stiff or dazed and stunned, verb
reabsorb, undergo resorption, verb
embrittle, make brittle, verb
affranchise, grant freedom to; as from slavery or servitude, verb
waring, spend extravagantly, verb
strew, spread by scattering ( is archaic), verb
mutate, undergo mutation, verb
numerate, determine the number or amount of, verb
treating, interact in a certain way, verb
vermiculate, decorate with wavy or winding lines, verb
kindle, catch fire, verb
deny, declare untrue; contradict, verb
depone, make a deposition; declare under oath, verb
forget, dismiss from the mind; stop remembering, verb
oxidize, enter into a combination with oxygen or become converted into an oxide, verb
legitimize, make legal, verb
ventilate, expose to cool or cold air so as to cool or freshen, verb
aberrate, diverge from the expected, verb
torn, separate or cause to separate abruptly, verb
precipitated, bring about abruptly, verb
plated, coat with a layer of metal, verb
swingeing, burn superficially or lightly, verb
admired, feel admiration for, verb
traduce, speak unfavorably about, verb
aspersed, charge falsely or with malicious intent; attack the good name and reputation of someone, verb
cannoned, make a cannon, verb
untwisted, cause to become untwisted, verb
sinter, cause (ores or powdery metals) to become a coherent mass by heating without melting, verb
betray, reveal unintentionally, verb
unpacked, remove from its packing, verb
trussed, tie the wings and legs of a bird before cooking it, verb
unwrapping, remove the outer cover or wrapping of, verb
interdepend, be connected, verb
cowhiding, flog with a cowhide, verb
unlashed, untie the lashing of, verb
cower, crouch or curl up, verb
dissimulate, hide (feelings) from other people, verb
collaborate, work together on a common enterprise of project, verb
soughing, make a murmuring sound, verb
marbled, paint or stain like marble, verb
misidentify, identify incorrectly, verb
disafforest, remove the trees from, verb
unloaded, leave or unload, verb
afflict, cause great unhappiness for; distress, verb
decarbonized, remove carbon from (an engine), verb
honoress, bestow honor or rewards upon, verb
restraining, keep under control; keep in check, verb
undeceive, free from deception or illusion, verb
opalesce, reflect light or colors like an opal, verb
victimize, make a victim of, verb
outvie, be more of a rival than, verb
intermitted, cease an action temporarily, verb
starched, stiffen with starch, verb
sic, urge to attack someone, verb
pertaining, be relevant to, verb
redound, return or recoil, verb
chlorinate, treat or combine with chlorine, verb
swishing, move with or cause to move with a whistling or hissing sound, verb
micturate, eliminate urine, verb
unfit, make unfit or unsuitable, verb
sewed, fasten by sewing; do needlework, verb
cumber, hold back, verb
decoct, extract the essence of something by boiling it, verb
singeing, burn superficially or lightly, verb
circling, travel around something, verb
accepted, consider or hold as true, verb
seared, make very hot and dry, verb
privileged, bestow a privilege upon, verb
spawning, call forth, verb
upend, become turned or set on end, verb
transcending, be greater in scope or size than some standard, verb
spreaded, distribute or disperse widely, verb
transship, transfer for further transportation from one ship or conveyance to another, verb
churning, stir (cream) vigorously in order to make butter, verb
repel, cause to move back by force or influence, verb
cowled, cover with or as with a cowl, verb
degust, taste with relish, verb
fruited, cause to bear fruit, verb
sniveled, talk in a tearful manner, verb
encircle, form a circle around, verb
lodged, be a lodger; stay temporarily, verb
unbinding, untie or unfasten, verb
allude, make a more or less disguised reference to, verb
contradict, be in contradiction with, verb
psychoanalyze, subject to psychoanalytic treatment, verb
billeting, provide housing for (military personnel), verb
vermiculated, decorate with wavy or winding lines, verb
aggrieved, infringe on the rights of, verb
peeled, strip the skin off, verb
sealess, make tight; secure against leakage, verb
unsealing, break the seal of, verb
jointed, fit as if by joints, verb
cogged, roll steel ingots, verb
piercing, cut or make a way through, verb
moisten, make moist, verb
plaited, make by braiding or interlacing, verb
persuade, win approval or support for, verb
expect, regard something as probable or likely, verb
infiltrate, cause (a liquid) to enter by penetrating the interstices, verb
orbed, move in an orbit, verb
involve, connect closely and often incriminatingly, verb
astonish, affect with wonder, verb
furcate, divide into two or more branches so as to form a fork, verb
infuse, teach and impress by frequent repetitions or admonitions, verb
deign, do something that one considers to be below one's dignity, verb
despise, look down on with disdain, verb
earthed, hide in the earth like a hunted animal, verb
abstracted, consider a concept without thinking of a specific example; consider abstractly or theoretically, verb
amputate, remove surgically, verb
ingraft, cause to grow together parts from different plants, verb
excepting, take exception to, verb
experienced, go or live through, verb
finished, come or bring to a finish or an end, verb
scrimp, subsist on a meager allowance, verb
thieve, take by theft, verb
liming, spread birdlime on branches to catch birds, verb
quash, put down by force or intimidation, verb
overfill, fill beyond capacity, verb
composed, form the substance of, verb
converted, change from one system to another or to a new plan or policy, verb
heartening, give encouragement to, verb
bloated, become bloated or swollen or puff up, verb
wished, hope for; have a wish, verb
reload, load anew, verb
overbear, overcome, verb
overmaster, overcome by superior force, verb
demonize, make into a demon, verb
redeposit, deposit once again, verb
linking, make a logical or causal connection, verb
withstood, resist or confront with resistance, verb
unlaced, undo the ties of, verb
halve, divide by two; divide into halves, verb
lounging, sit or recline comfortably, verb
refracted, subject to refraction, verb
rattled, make short successive sounds, verb
headed, to go or travel towards, verb
superposed, place (one geometric figure) upon another so that their perimeters coincide, verb
hemagglutinate, cause the clumping together (of red blood cells), verb
resell, sell (something) again after having bought it, verb
awing, inspire awe in, verb
bedaze, overcome as with astonishment or disbelief, verb
depart, move away from a place into another direction, verb
sculpt, create by shaping stone or wood or any other hard material, verb
uncased, get undressed, verb
overfeed, feed excessively, verb
infer, reason by deduction; establish by deduction, verb
sauntering, walk leisurely and with no apparent aim, verb
illegalize, declare illegal; outlaw, verb
disappointing, fail to meet the hopes or expectations of, verb
resplend, be resplendent or radiant; to shine brightly, verb
busted, ruin completely, verb
flouncing, walk emphatically, verb
bottling, store (liquids or gases) in bottles, verb
desecrate, violate the sacred character of a place or language, verb
lapsed, pass into a specified state or condition, verb
demobilize, release from military service or remove from the active list of military service, verb
angled, move or proceed at an angle, verb
defy, resist or confront with resistance, verb
cogitate, consider carefully and deeply; reflect upon; turn over in one's mind, verb
exploring, inquire into, verb
ensure, make certain of, verb
attorn, acknowledge a new land owner as one's landlord, verb
bless, give a benediction to, verb
understood, know and comprehend the nature or meaning of, verb
piped, utter a shrill cry, verb
frosted, decorate with frosting, verb
ligate, join letters in a ligature when writing, verb
grieved, feel grief, verb
empanel, enter into a list of prospective jurors, verb
concenter, bring into focus or alignment; to converge or cause to converge; of ideas or emotions, verb
impoverish, make poor, verb
bodied, invest with or as with a body; give body to, verb
dredging, cover before cooking, verb
embellish, add details to, verb
patinate, coat with a patina, verb
discontented, make dissatisfied, verb
counterchange, cause to change places, verb
rely, have confidence or faith in, verb
seated, show to a seat; assign a seat for, verb
lacerate, cut or tear irregularly, verb
denote, be a sign or indication of, verb
unhallow, remove the consecration from a person or an object, verb
animadvert, express one's opinion openly and without fear or hesitation, verb
scamping, perform hastily and carelessly, verb
forgetting, dismiss from the mind; stop remembering, verb
admitted, declare to be true or admit the existence or reality or truth of, verb
bred, call forth, verb
decontaminate, rid of contamination, verb
mooned, have dreamlike musings or fantasies while awake, verb
preoccupied, engage or engross the interest or attention of beforehand or occupy urgently or obsessively, verb
equalize, compensate; make the score equal, verb
denaturalize, make less natural or unnatural, verb
underpaid, pay too little, verb
glued, join or attach with or as if with glue, verb
prologize, write or speak a prologue, verb
stubbed, pull up (weeds) by their roots, verb
steaming, travel by means of steam power, verb
arrogate, demand as being one's due or property; assert one's right or title to, verb
inflate, exaggerate or make bigger, verb
acquainted, cause to come to know personally, verb
spilt, cause or allow (a liquid substance) to run or flow from a container, verb
dishearten, take away the enthusiasm of, verb
porcelainize, coat with porcelain or a porcelain-like surface, verb
blotting, dry (ink) with blotting paper, verb
underrate, make too low an estimate of, verb
prevent, keep from happening or arising; make impossible, verb
disguised, make unrecognizable, verb
befuddle, be confusing or perplexing to; cause to be unable to think clearly, verb
hypothecate, pledge without delivery or title of possession, verb
compile, get or gather together, verb
tinkling, make or emit a high sound, verb
doubting, consider unlikely or have doubts about, verb
foregoing, be earlier in time; go back further, verb
rebury, bury again, verb
throve, grow vigorously, verb
bucking, to strive with determination, verb
drying, remove the moisture from and make dry, verb
gorged, overeat or eat immodestly; make a pig of oneself, verb
metricize, express in the metric system, verb
hoped, expect and wish, verb
combust, cause to burn or combust, verb
slumbering, be asleep, verb
volleying, be dispersed in a volley, verb
braise, cook in liquid, verb
explode, cause to burst with a violent release of energy, verb
ensnaring, take or catch as if in a snare or trap, verb
retrovert, go back to a previous state, verb
outclass, cause to appear in a lower class, verb
repressed, put down by force or intimidation, verb
vituperate, spread negative information about, verb
supple, make pliant and flexible, verb
flawed, add a flaw or blemish to; make imperfect or defective, verb
deplored, express strong disapproval of, verb
betoken, be a signal for or a symptom of, verb
disintegrate, break into parts or components or lose cohesion or unity, verb
cathect, inject with libidinal energy, verb
disenchant, free from enchantment, verb
tarred, coat with tar, verb
pillowing, rest on or as if on a pillow, verb
dissect, cut open or cut apart, verb
opacify, make opaque, verb
undressed, get undressed, verb
spicing, make more interesting or flavorful, verb
lour, set lower, verb
waive, do without or cease to hold or adhere to, verb
complete, come or bring to a finish or an end, verb
encompass, include in scope; include as part of something broader; have as one's sphere or territory, verb
broideress, decorate with needlework, verb
unhinge, disturb in mind or make uneasy or cause to be worried or alarmed, verb
powered, supply the force or power for the functioning of, verb
spouting, gush forth in a sudden stream or jet, verb
oust, remove from a position or office, verb
reheel, put a new heel on, verb
engage, carry out or participate in an activity; be involved in, verb
specked, produce specks in or on, verb
feign, make believe with the intent to deceive, verb
explore, inquire into, verb
hear, perceive (sound) via the auditory sense, verb
eschew, avoid and stay away from deliberately; stay clear of, verb
bustling, move or cause to move energetically or busily, verb
schematize, formulate in regular order; to reduce to a scheme or formula, verb
pervading, spread or diffuse through, verb
mistook, identify incorrectly, verb
parching, cause to wither or parch from exposure to heat, verb
enforce, ensure observance of laws and rules, verb
combined, have or possess in combination, verb
opt, select as an alternative over another, verb
unclothed, strip, verb
detract, take away a part from; diminish, verb
uncoupled, disconnect or separate, verb
typesetting, set in type, verb
divest, take away possessions from someone, verb
indorse, be behind; approve of, verb
deduct, make a subtraction, verb
sleeting, precipitate as a mixture of rain and snow, verb
burnishing, polish and make shiny, verb
callous, make insensitive or callous; deaden feelings or morals, verb
underdress, dress without sufficient warmth, verb
fired, start firing a weapon, verb
reticulate, form a net or a network, verb
persuaded, win approval or support for, verb
preceding, be earlier in time; go back further, verb
outstare, overcome or cause to waver or submit by (or as if by) staring, verb
belittle, cause to seem less serious; play down, verb
dillydally, postpone doing what one should be doing, verb
tossing, throw or toss with a light motion, verb
demote, assign to a lower position; reduce in rank, verb
eternalize, make famous forever, verb
laid, put into a certain place or abstract location, verb
hurled, throw forcefully, verb
bemock, treat with contempt, verb
humped, round one's back by bending forward and drawing the shoulders forward, verb
dogmatize, state as a dogma, verb
unchained, remove the chains from, verb
insinuate, introduce or insert (oneself) in a subtle manner, verb
unsoldered, remove the soldering from, verb
nutted, gather nuts, verb
applaud, clap one's hands or shout after performances to indicate approval, verb
arcked, form an arch or curve, verb
universalize, make universal, verb
monetize, give legal value to or establish as the legal tender of a country, verb
pondering, reflect deeply on a subject, verb
derate, lower the rated electrical capability of electrical apparatus, verb
hypertrophied, undergo hypertrophy, verb
outgone, be or do something to a greater degree, verb
interpose, be or come between, verb
contemplate, look at thoughtfully; observe deep in thought, verb
patterned, plan or create according to a model or models, verb
shafted, equip with a shaft, verb
appoint, create and charge with a task or function, verb
prehend, take hold of; grab, verb
zigzagged, travel along a zigzag path, verb
reinstall, install again, verb
known, be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about, verb
snubbed, refuse to acknowledge, verb
tormented, torment emotionally or mentally, verb
sickening, cause aversion in; offend the moral sense of, verb
swept, sweep across or over, verb
retell, render verbally , verb
underacting, act (a role) with great restraint, verb
envision, imagine; conceive of; see in one's mind, verb
unbarred, remove a bar from (a door), verb
troubling, move deeply, verb
carburet, combine with carbon, verb
submersed, sink below the surface; go under or as if under water, verb
bustled, move or cause to move energetically or busily, verb
congested, become or cause to become obstructed, verb
allocate, distribute according to a plan or set apart for a special purpose, verb
barding, put a caparison on, verb
spun, revolve quickly and repeatedly around one's own axis, verb
atrophied, undergo atrophy, verb
foregone, be earlier in time; go back further, verb
react, show a response or a reaction to something, verb
sodded, cover with sod, verb
mousing, to go stealthily or furtively, verb
overexert, exert (oneself) excessively and go beyond one's strength, verb
seel, sew up the eyelids of hawks and falcons, verb
localize, identify the location or place of, verb
hooded, cover with a hood, verb
encourage, contribute to the progress or growth of, verb
inunct, administer an oil or ointment to ; often in a religious ceremony of blessing, verb
flooded, fill quickly beyond capacity; as with a liquid, verb
outlive, live longer than, verb
impeding, be a hindrance or obstacle to, verb
consolidated, unite into one, verb
vie, compete for something; engage in a contest; measure oneself against others, verb
sentimentalize, look at with sentimentality or turn into an object of sentiment, verb
cushioned, protect from impact, verb
compart, lay out in parts according to a plan, verb
militate, have force or influence; bring about an effect or change, verb
phonate, utter speech sounds, verb
glazed, coat with a glaze, verb
stabbing, use a knife on, verb
rimmed, run around the rim of, verb
remold, cast again, verb
riving, tear or be torn violently, verb
trisect, cut in three, verb
elocute, declaim in an elocutionary manner, verb
atone, make amends for, verb
reversing, change to the contrary, verb
tailoress, adjust to a specific need or market, verb
slagging, convert into slag, verb
vaccinate, perform vaccinations or produce immunity in by inoculation, verb
restes, not move; be in a resting position, verb
redecorate, redo the decoration of an apartment or house, verb
wagering, stake on the outcome of an issue, verb
machicolate, supply with projecting galleries, verb
overrunning, invade in great numbers, verb
habituate, take or consume (regularly or habitually), verb
buzzing, make a buzzing sound, verb
jaded, lose interest or become bored with something or somebody, verb
vilify, spread negative information about, verb
miscall, assign in incorrect name to, verb
canting, heel over, verb
disconcerting, cause to feel embarrassment, verb
demonstrate, give an exhibition of to an interested audience, verb
resonate, sound with resonance, verb
mobed, press tightly together or cram, verb
cloy, supply or feed to surfeit, verb
embroider, decorate with needlework, verb
afflicted, cause great unhappiness for; distress, verb
aerate, expose to fresh air, verb
broke, terminate, verb
assort, keep company with; hang out with, verb
admix, mix or blend, verb
built, make by combining materials and parts, verb
immunize, law: grant immunity from prosecution, verb
overdone, do something to an excessive degree, verb
taxing, levy a tax on, verb
agnize, be fully aware or cognizant of, verb
caving, hollow out as if making a cave or opening, verb
internalize, incorporate within oneself; make subjective or personal, verb
capped, lie at the top of, verb
contented, satisfy in a limited way, verb
expunge, remove by erasing or crossing out or as if by drawing a line, verb
lambaste, beat with a cane, verb
interweaving, interlace by or as if by weaving, verb
scummed, remove the scum from, verb
bushwhack, wait in hiding to attack, verb
beckoning, signal with the hands or nod, verb
vivify, give new life or energy to, verb
migrate, move from one country or region to another and settle there, verb
soaked, submerge in a liquid, verb
jabbed, poke or thrust abruptly, verb
instruct, impart skills or knowledge to, verb
preach, deliver a sermon, verb
groveless, show submission or fear, verb
sibilate, pronounce with an initial sibilant, verb
attenuate, weaken the consistency of (a chemical substance), verb
generalized, draw from specific cases for more general cases, verb
deploy, place troops or weapons in battle formation, verb
catechize, examine through questioning and answering, verb
imbrue, permeate or impregnate, verb
retrieve, get or find back; recover the use of, verb
affected, have an effect upon, verb
reveal, make visible, verb
underpay, pay too little, verb
varnished, cover with varnish, verb
disable, make unable to perform a certain action, verb
typecast, cast repeatedly in the same kind of role, verb
decussated, cross or intersect so as to form a cross, verb
honeyed, sweeten with honey, verb
pranked, dress or decorate showily or gaudily, verb
marinate, soak in marinade, verb
mystify, be a mystery or bewildering to, verb
piecing, to join or unite the pieces of, verb
disbelieve, reject as false; refuse to accept, verb
lavish, expend profusely; also used with abstract nouns, verb
estrange, remove from customary environment or associations, verb
vocalise, sing (each note a scale or in a melody) with the same vowel, verb
overpay, pay too much, verb
aver, report or maintain, verb
prowling, move about in or as if in a predatory manner, verb
polluted, make impure, verb
fascinate, cause to be interested or curious, verb
arise, come into existence; take on form or shape, verb
overclothe, dress too warmly, verb
ascribe, attribute or credit to, verb
alliterate, use alliteration as a form of poetry, verb
wanting, feel or have a desire for; want strongly, verb
imagine, form a mental image of something that is not present or that is not the case, verb
exposit, state, verb
analogize, make an analogy, verb
coned, make cone-shaped, verb
tented, live in or as if in a tent, verb
forested, establish a forest on previously unforested land, verb
fled, run away quickly, verb
suspected, imagine to be the case or true or probable, verb
giggling, laugh nervously, verb
unsaid, take back what one has said, verb
squawking, utter a harsh abrupt scream, verb
blighting, cause to suffer a blight, verb
undertake, enter upon an activity or enterprise, verb
correlated, to bear a reciprocal or mutual relation, verb
disheartening, take away the enthusiasm of, verb
frivol, act frivolously, verb
blocked, render unsuitable for passage, verb
effectuate, produce, verb
napping, take a siesta, verb
husked, remove the husks from, verb
gird, prepare oneself for a military confrontation, verb
implore, call upon in supplication; entreat, verb
obey, be obedient to, verb
inwoven, weave together into a fabric or design, verb
mirrored, reflect as if in a mirror, verb
arrive, reach a destination; arrive by movement or progress, verb
mottled, mark with spots or blotches of different color or shades of color as if stained, verb
braced, prepare (oneself) for something unpleasant or difficult, verb
manipulate, influence or control shrewdly or deviously, verb
reconvict, convict anew, verb
ravishing, force (someone) to have sex against their will, verb
reprise, repeat an earlier theme of a composition, verb
vaporize, kill with or as if with a burst of gunfire or electric current or as if by shooting, verb
sculpturing, create by shaping stone or wood or any other hard material, verb
lynch, kill without legal sanction, verb
incrust, decorate or cover lavishly (as with gems), verb
vamped, make up, verb
afflicting, cause great unhappiness for; distress, verb
retouching, give retouches to (hair), verb
lapped, lie partly over or alongside of something or of one another, verb
calcify, become impregnated with calcium salts, verb
embitter, cause to be bitter or resentful, verb
superpose, place (one geometric figure) upon another so that their perimeters coincide, verb
juxtapose, place side by side, verb
accrete, grow together (of plants and organs), verb
sloted, assign a time slot, verb
brought, take something or somebody with oneself somewhere, verb
seeped, pass gradually or leak through or as if through small openings, verb
reassure, cause to feel sure; give reassurance to, verb
shimmering, shine with a weak or fitful light, verb
wined, drink wine, verb
authenticate, establish the authenticity of something, verb
knelt, rest one's weight on one's knees, verb
paneless, decorate with panels, verb
stripped, take away possessions from someone, verb
traducing, speak unfavorably about, verb
metaling, cover with metal, verb
lionize, assign great social importance to, verb
overlain, lie upon; lie on top of, verb
visualize, imagine; conceive of; see in one's mind, verb
partook, have some of the qualities or attributes of something, verb
toned, utter monotonously and repetitively and rhythmically, verb
malign, speak unfavorably about, verb
originate, come into existence; take on form or shape, verb
eternize, cause to continue indefinitely, verb
allow, make it possible through a specific action or lack of action for something to happen, verb
appease, cause to be more favorably inclined; gain the good will of, verb
worked, exert oneself by doing mental or physical work for a purpose or out of necessity, verb
endearing, make attractive or lovable, verb
frogging, hunt frogs for food, verb
untwined, undo what has been twined together, verb
divaricating, branch off, verb
homologize, be homologous, verb
lave, wash or flow against, verb
shagged, dance the shag, verb
depress, lower someone's spirits; make downhearted, verb
famish, be hungry; go without food, verb
elongated, make long or longer by pulling and stretching, verb
isolated, place or set apart, verb
quench, satisfy (thirst), verb
disallow, command against, verb
unscrewed, loosen something by unscrewing it, verb
respecting, regard highly; think much of, verb
revalue, gain in value, verb
sizz, express or utter with a hiss, verb
misaddress, put a wrong address on, verb
regurgitate, pour or rush back, verb
scrolled, move through text or graphics in order to display parts that do not fit on the screen, verb
porteress, carry luggage or supplies, verb
predetermine, determine beforehand, verb
jingling, make a sound typical of metallic objects, verb
unclogged, become or cause to become unobstructed, verb
sonneting, praise in a sonnet, verb
unpack, remove from its packing, verb
alluring, dispose or incline or entice to, verb
weighted, weight down with a load, verb
descry, catch sight of, verb
surfaced, come to the surface, verb
unmaned, cause to lose one's nerve, verb
penalize, impose a penalty on; inflict punishment on, verb
overdriven, drive or work too hard, verb
twilling, weave diagonal lines into (textiles), verb
straighten, straighten up or out; make straight, verb
lasting, persist for a specified period of time, verb
calcined, heat a substance so that it oxidizes or reduces, verb
notched, cut or make a notch into, verb
scragged, strangle with an iron collar, verb
revolutionize, change radically, verb
foist, to force onto another, verb
ovulate, produce and discharge eggs, verb
manning, take charge of a certain job; occupy a certain work place, verb
arcking, form an arch or curve, verb
discomposing, cause to lose one's composure, verb
bring, take something or somebody with oneself somewhere, verb
inhabit, inhabit or live in; be an inhabitant of, verb
inserted, put or introduce into something, verb
gushing, gush forth in a sudden stream or jet, verb
compassionate, share the suffering of, verb
venerate, regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of, verb
uncloak, reveal the true nature of, verb
confining, place limits on (extent or access), verb
cried, utter a sudden loud cry, verb
syllabify, divide into syllables, verb
protuberate, cause to bulge out or project, verb
narcotize, administer narcotics to, verb
squilgee, wipe with a squeegee, verb
dislocated, move out of position, verb
devalue, remove the value from; deprive of its value, verb
freshen, make (to feel) fresh, verb
decamp, leave a camp, verb
restore, return to its original or usable and functioning condition, verb
calculate, make a mathematical calculation or computation, verb
furl, form into a cylinder by rolling, verb
intending, have in mind as a purpose, verb
behead, cut the head of, verb
silenced, cause to be quiet or not talk, verb
fused, mix together different elements, verb
leafed, look through a book or other written material, verb
sate, fill to satisfaction, verb
quarried, extract (something such as stones) from or as if from a quarry, verb
recalcitrate, show strong objection or repugnance; manifest vigorous opposition or resistance; be obstinately disobedient, verb
transliterate, rewrite in a different script, verb
worsen, grow worse, verb
proofread, read for errors, verb
embarrass, cause to be embarrassed; cause to feel self-conscious, verb
tinct, color lightly, verb
agree, be in accord; be in agreement, verb
swinge, burn superficially or lightly, verb
interfere, come between so as to be hindrance or obstacle, verb
strung, thread on or as if on a string, verb
predate, be earlier in time; go back further, verb
defer, hold back to a later time, verb
abrogate, revoke formally, verb
weighed, have a certain weight, verb
slanting, lie obliquely, verb
chasing, go after with the intent to catch, verb
mistreat, treat badly, verb
impel, urge or force (a person) to an action; constrain or motivate, verb
shod, furnish with shoes, verb
scrimshank, British military language: avoid work, verb
